,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c,cell_zpdb,citation_journal_volume,Resolution
354,90.0,166.5,101.9,113.7,8.0,133.0,3.2
355,90.0,120.036,120.036,354.151,32.0,106.0,3.15
356,90.0,126.19,95.9,144.57,4.0,474.0,2.80
357,90.0,122.36,122.36,328.46,8.0,496.0,3.80
358,92.83666666666666,118.73299999999999,128.944,300.90066666666667,8.666666666666666,562.0,4
359,100.0,145.18233333333333,184.60533333333333,162.03433333333334,17.333333333333332,12.0,7.60
360,90.0,91.014,129.362,198.589,4.0,483.0,2.60
361,90.0,136.66,152.08,95.04,8.0,21.0,2.64
362,90.0,148.10233333333335,144.036,134.082,10.666666666666666,136.0,NMR strucuture
363,90.0,161.934,372.847,161.972,72.0,516.0,3.59
364,90.0,171.64,176.88,104.99,36.0,111.0,3.10
365,110.0,109.15633333333334,107.923,176.66333333333333,12.0,18.0,2.94
366,100.0,131.14133333333334,131.93266666666668,154.229,17.333333333333332,11.0,3.38
367,100.0,89.45166666666667,133.965,151.60833333333332,10.0,38.0,3.40
368,90.0,137.274,79.886,137.905,4.0,7.0,3.2
369,90.0,69.68,73.74,53.03,4.0,74.0,2.2
370,90.0,85.32,104.62,269.1,12.0,154.0,2.40
371,90.0,68.19,103.86,118.62,4.0,6.0,2
372,90.0,87.94,98.64,124.86,4.0,76.0,2.96
373,90.0,87.89,158.18,77.84,4.0,10.0,2.12
374,90.0,86.697,155.171,77.796,4.0,14.666666666666666,2.57
375,90.0,87.713,73.721,85.777,4.0,27.0,1.85
376,90.0,101.34,156.227,158.075,8.0,6.0,3.20
377,120.0,94.096,94.096,392.368,12.0,9.0,3.29
378,100.0,127.64566666666667,153.07000000000002,194.30166666666665,12.666666666666666,181.0,3.46
379,90.0,65.489,75.538,91.51,8.0,140.66666666666666,2.00
380,120.0,57.97,57.97,346.435,12.0,23.0,2.60
381,90.0,82.263,82.261,82.502,24.0,25.0,2.0
382,90.0,84.951,53.298,102.418,4.0,14.0,2.7
383,90.0,31.142,122.027,123.641,4.0,415.0,2.48
384,90.0,88.34,88.34,311.533,8.0,413.0,2.50
385,90.0,40.33,85.85,134.05,4.0,187.0,3.00
386,90.0,73.011,68.893,78.378,4.0,402.0,2.00
387,120.0,115.028,115.028,437.057,12.0,280.0,2.20
388,90.0,143.826,143.826,186.883,16.0,396.0,2.50
389,120.0,104.22,104.22,61.58,6.0,193.0,2.00
390,90.0,116.565,120.248,39.093,8.0,20.0,1.86
391,90.0,90.5,349.0,47.8,8.0,405.0,2.90
392,90.0,79.404,124.885,65.073,8.0,20.0,2.26
393,90.0,61.14,50.66,97.92,2.0,286.0,2.30
394,90.0,84.336,166.84766666666667,108.20233333333333,9.333333333333334,9.0,NMR Structure
395,90.0,77.47,261.06,57.84,4.0,20.0,2.25
396,90.0,87.794,314.368,164.527,24.0,177.0,2.88
397,90.0,60.51,122.372,405.549,24.0,435.0,3.00
398,109.94,46.951,49.283,86.884,1.0,9.0,2.40
399,90.0,112.953,183.379,45.324,4.0,9.0,2.60
400,120.0,57.39,57.39,516.53,18.0,118.0,1.40
401,90.0,108.6,136.65,112.27,8.0,139.0,3.15
402,90.0,107.55,139.39,113.08,8.0,277.0,3.50
403,90.0,158.18,158.18,158.18,48.0,285.0,1.97
404,120.0,108.366,108.366,60.238,12.0,285.0,2.20
405,90.0,118.492,159.883,56.0,8.0,28.0,2.60
406,90.0,81.56,80.372,89.247,4.0,9.0,2.50
407,90.0,59.525,270.206,190.618,8.0,501.0,3.20
408,90.0,47.779,88.162,244.454,4.0,501.0,2.91
409,90.0,70.721,94.048,109.176,8.0,317.0,2.2
410,120.0,92.509,92.509,142.429,6.0,16.0,3.3
411,90.0,97.74300000000001,88.89233333333334,76.97500000000001,6.666666666666667,68.0,NMR Structure
412,120.0,118.492,118.492,69.992,12.0,18.0,2.69
413,90.0,137.53,39.005,32.561,4.0,67.0,1.5
414,90.0,79.583,67.347,109.795,2.0,70.0,3.00
415,90.0,122.737,159.378,55.926,8.0,140.0,2.2
416,90.0,56.406,135.542,89.754,4.0,73.0,1.94
417,90.0,50.221,120.967,134.117,8.0,406.0,1.80
418,90.0,101.71,101.71,108.78,8.0,406.0,2.60
